net,length_um
Mux.r0\[3\],11.2
_0265_,11.2
_0606_,11.2
_0557_,11.18
Mux.r6\[12\],11.1
_0404_,11.08
Mux.r7\[14\],11.05
Mux.r4\[9\],11.04
Mux.r5\[12\],11
Mux.r5\[15\],10.96
Mux.r1\[13\],10.92
_0295_,10.92
_0497_,10.92
_0763_,10.82
Mux.r4\[6\],10.74
Mux.r1\[10\],10.68
_0444_,10.66
net7,10.66
_0740_,10.64
_0471_,10.52
ALU_16bit.addsub.raout\[1\],10.5
_0719_,10.5
_0744_,10.44
_0804_,10.44
_0333_,10.42
_0417_,10.42
_0586_,10.4
_0681_,10.4
_0234_,10.38
Mux.r5\[9\],10.34
_0319_,10.31
_0627_,10.3
_0246_,10.23
Mux.r7\[15\],10.16
_0451_,10.16
Mux.r5\[10\],10.08
_0306_,10.08
_0336_,10.08
_0412_,10.06
Mux.r2\[7\],10.04
Mux.r1\[14\],9.86
Mux.r7\[3\],9.86
_0568_,9.86
Mux.r3\[15\],9.84
Mux.r2\[15\],9.82
_0282_,9.8
Mux.r0\[1\],9.78
_0652_,9.72
Mux.r0\[14\],9.7
Mux.r7\[5\],9.7
_0248_,9.7
din[6],9.64
din[7],9.64
resetn,9.64
run,9.64
Mux.r4\[8\],9.62
Mux.r3\[2\],9.6
_0548_,9.58
Mux.r5\[14\],9.56
_0346_,9.54
_0339_,9.52
_0366_,9.5
_0758_,9.5
_0807_,9.5
_0381_,9.49
_0841_,9.48
Mux.r3\[12\],9.36
Mux.r4\[1\],9.36
Mux.r7\[4\],9.36
_0588_,9.36
buswires[5],9.3
done,9.3
_0314_,9.26
_0796_,9.26
_0151_,9.205
_0016_,9.185
_0285_,9.18
_0371_,9.14
Mux.r6\[8\],9.12
Mux.r1\[11\],9.06
Mux.r2\[9\],9.06
_0386_,9.06
_0766_,8.94
Mux.r2\[10\],8.92
Mux.r3\[9\],8.92
Mux.r3\[14\],8.9
_0450_,8.9
_0913_,8.9
_0145_,8.845
buswires[4],8.84
_0361_,8.82
Mux.r0\[2\],8.78
din[1],8.72
din[4],8.72
Mux.r4\[7\],8.7
_0605_,8.66
_0845_,8.62
Mux.r6\[11\],8.58
Mux.r0\[10\],8.56
_0801_,8.56
_0798_,8.52
_0354_,8.5
_0513_,8.48
_0658_,8.48
_0808_,8.48
Mux.r4\[15\],8.46
_0643_,8.44
net72,8.44
_0358_,8.42
_0387_,8.38
Mux.r2\[3\],8.36
_0777_,8.36
_0674_,8.32
_0795_,8.32
_0812_,8.28
Mux.r6\[6\],8.26
_0794_,8.26
Mux.r4\[13\],8.2
ALU_16bit.aluout\[4\],8.14
Mux.r5\[3\],8.14
_0546_,8.14
_0300_,8.12
_0775_,8.12
Mux.r0\[5\],8.1
_0923_,8.1
_0511_,8.04
_0716_,8.04
Mux.r1\[8\],8.02
_0276_,8.02
_0597_,8.02
_0668_,8.02
_0532_,7.98
_0836_,7.96
_0771_,7.94
_0741_,7.92
_0288_,7.9
_0400_,7.88
Mux.r2\[6\],7.86
Mux.r5\[1\],7.86
_0435_,7.86
_0212_,7.84
Mux.r1\[5\],7.8
Mux.r2\[2\],7.78
Mux.r5\[13\],7.78
_0277_,7.78
_0422_,7.78
_0028_,7.745
Mux.r1\[2\],7.74
Mux.r7\[9\],7.74
_0299_,7.7
ALU_16bit.addsub.raout\[14\],7.68
ALU_16bit.addsub.raout\[15\],7.68
_0415_,7.68
_0761_,7.68
_0954_,7.68
Mux.r6\[4\],7.66
_0902_,7.66
_0188_,7.64
_0378_,7.64
_0654_,7.64
_0500_,7.56
Mux.r6\[5\],7.54
_0311_,7.52
_0424_,7.52
_0535_,7.48
